Region	State	Observers	Location	Date	Year	Month	Day	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	2	87.6	22	0	0	0	0	0	5	0	1.666666667	5
East	PA	Liz	Pine_Brook_Park	9/20/2018	2018	9	20	3	94	13	0	0	0	0	5	0	0	1.666666667	5
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	7	104	26	0	3	0	0	6	0	0	2	6
Midwest	MI	Patrick	10	17-Sep-20	2020	9	17	2	68	21	0	0	0	1	1	4	0	2	6
Midwest	MI	Patrick	10	17-Sep-20	2020	9	17	4	60	5	0	0	0	3	3	0	0	2	6
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	3	76.2	18	0	0	N/A	3	1	2	0	2	6
East	PA	Liz	Stony_Acres_Entrance	9/27/2018	2018	9	27	2	88	24	0	0	0	0	0	6	0	2	6
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	8	86	18	0	0	0	0	7	0	0	2.333333333	7
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	8	69.4	17	0	0	0	7	0	0	0	2.333333333	7
East	PA	Liz	Stony_Acres_Entrance	9/27/2018	2018	9	27	1	97	22	0	3	0	0	3	4	0	2.333333333	7
Midwest	MI	Kaley	23	10-Sep-20	2020	9	10	6	160	15	0	12	0	2	6	0	0	2.666666667	8
East	PA	Liz	Cherry_Valley_Golf	9/6/2018	2018	9	6	3	55	16	1	0	0	0	3	5	0	2.666666667	8
East	PA	Liz	Pine_Brook_Park	9/20/2018	2018	9	20	1	127	28	0	0	0	1	7	0	0	2.666666667	8
East	PA	Liz	Camelback	9/27/2018	2018	9	27	5	68	13	0	0	0	0	8	0	0	2.666666667	8
Midwest	MI	Kaley	24	6-Sep-20	2020	9	6	3	1	23	0	11	1	6	3	0	0	3	9
East	PA	Liz	ESU_Pavillion_Hill	8/30/2018	2018	8	30	3	89	27	0	1	0	0	9	0	0	3	9
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	1	108.2	31	0	0	0	3	6	1	0	3.333333333	10
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	4	123.4	28	0	0	0	1	9	0	0	3.333333333	10
Midwest	MI	Kaley	25	16-Sep-20	2020	9	16	1	200	21	0	2	53	10	0	0	0	3.333333333	10
East	PA	Liz	Camelback	9/27/2018	2018	9	27	4	103	6	0	3	0	0	0	10	0	3.333333333	10
Midwest	MI	Katie	15	12-Sep-18	2018	9	12	5	86.4	11	0	6	0	0	0	11	0	3.666666667	11
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	10	107.6	18	0	0	0	0	11	0	0	3.666666667	11
Midwest	MI	Kaley	24	6-Sep-20	2020	9	6	6	143	45	0	16	1	12	0	0	0	4	12
East	PA	Liz	Yetter_Park	10/4/2018	2018	10	4	5	59	14	0	0	0	0	0	13	0	4.333333333	13
East	PA	Liz	Back_to_Nature_Coop	10/8/2018	2018	10	8	2	62	25	0	0	0	1	0	12	0	4.333333333	13
Midwest	MI	Katie	19	14-Sep-18	2018	9	14	6	88.2	17	0	1	0	1	11	3	0	5	15
Midwest	MI	Kaley	24	6-Sep-20	2020	9	6	4	135	39	0	14	0	10	7	0	0	5.666666667	17
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	8	75	26	0	0	0	4	10	4	0	6	18
Midwest	MI	Kaley	25	16-Sep-20	2020	9	16	2	27	50	0	8	10	10	9	0	0	6.333333333	19
Midwest	MI	Katie	16	12-Sep-18	2018	9	12	7	52.1	19	0	0	0	6	11	4	1	7	21
East	PA	Liz	Stony_Acres_Entrance	9/27/2018	2018	9	27	5	65	19	0	0	0	0	17	5	0	7.333333333	22
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	7	54	20	0	0	0	15	0	10	0	8.333333333	25
East	PA	Liz	ESU_Pavillion_Hill	8/30/2018	2018	8	30	5	131	41	0	0	0	7	18	0	0	8.333333333	25
East	PA	Liz	Back_to_Nature_Field	9/16/2018	2018	9	16	4	47	136	0	0	0	8	0	17	0	8.333333333	25
East	PA	Liz	ESU_Fine_Arts	9/17/2018	2018	9	17	3	43	17	0	0	0	6	5	18	0	9.666666667	29
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	10	66	22	0	0	0	0	4	26	0	10	30
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	5	105.6	26	0	0	0	30	0	0	0	10	30
East	PA	Liz	ESU_Fine_Arts	9/17/2018	2018	9	17	2	68	26	0	0	0	1	4	26	0	10.33333333	31
Midwest	MI	Katie	16	12-Sep-18	2018	9	12	1	102.5	16	0	0	0	1	17	16	0	11.33333333	34
Midwest	MI	Katie	15	12-Sep-18	2018	9	12	9	117.5	28	0	11	0	1	3	31	0	11.66666667	35
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	4	143.7	16	0	9	89	2	26	7	0	11.66666667	35
East	PA	Liz	ESU_Pavillion_Hill	8/30/2018	2018	8	30	1	120	27	0	2	0	33	0	5	0	12.66666667	38
East	PA	Liz	ForEvergreen_Near_Building	9/13/2018	2018	9	13	1	24	12	0	0	0	19	19	0	0	12.66666667	38
East	PA	Liz	Back_to_Nature_Coop	10/8/2018	2018	10	8	4	61	13	0	0	0	1	15	22	0	12.66666667	38
East	PA	Liz	Back_to_Nature_Field	9/16/2018	2018	9	16	5	39	12	0	0	0	38	3	0	0	13.66666667	41
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	9	64	15	0	0	0	40	0	2	0	14	42
East	PA	Liz	Zacharias_Pond	9/20/2018	2018	9	20	5	105	15	0	15	0	16	15	11	0	14	42
East	PA	Liz	Back_to_Nature_Driveway	9/23/2018	2018	9	23	3	102	22	0	0	0	5	37	0	0	14	42
East	PA	Liz	ForEvergreen_Near_Barn	9/13/2018	2018	9	13	3	123	28	0	3	0	0	3	40	0	14.33333333	43
East	PA	Liz	Exxon_Milford_Road	9/20/2018	2018	9	20	2	127	20	0	1	0	43	0	0	0	14.33333333	43
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	6	152.5	22	0	14	33	17	27	0	0	14.66666667	44
Midwest	MI	Kaley	21	9-Sep-20	2020	9	9	1	171	50	0	11	7	5	14	27	0	15.33333333	46
Midwest	MI	Kaley	23	10-Sep-20	2020	9	10	8	116	24	0	3	33	47	0	0	0	15.66666667	47
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	5	150.4	16	0	12	94	7	20	22	0	16.33333333	49
East	PA	Liz	Stony_Acres_Entrance	9/27/2018	2018	9	27	3	40	34	0	0	0	37	15	1	0	17.66666667	53
East	PA	Liz	ESU_Fine_Arts	9/17/2018	2018	9	17	1	54	15	0	0	0	21	32	6	1	19.66666667	59
East	PA	Liz	Glen_Park	10/4/2018	2018	10	4	2	193	19	0	5	0	56	0	3	0	19.66666667	59
East	PA	Liz	Zacharias_Pond	9/20/2018	2018	9	20	1	108	15	0	1	0	0	82	0	0	27.33333333	82
East	PA	Liz	Back_to_Nature_Driveway	9/23/2018	2018	9	23	2	126	5	0	0	0	58	26	3	0	29	87
East	PA	Liz	Cranberry_Bog	9/27/2018	2018	9	27	3	110	37	0	0	0	0	0	89	0	29.66666667	89
East	PA	Liz	Cherry_Valley_Golf	9/6/2018	2018	9	6	5	39	18	0	0	0	44	49	0	0	31	93
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	9	139.6	19	0	9	126	38	42	14	0	31.33333333	94
East	PA	Liz	Cranberry_Bog	9/27/2018	2018	9	27	2	34	15	0	0	0	0	0	96	0	32	96
East	PA	Liz	Jay_Albertson_Park	10/4/2018	2018	10	4	3	161	20	0	0	0	3	42	62	0	35.66666667	107
Midwest	MI	Kaley	23	10-Sep-20	2020	9	10	5	171	29	0	2	167	64	46	0	1	36.66666667	110
East	PA	Liz	Zacharias_Pond	9/20/2018	2018	9	20	2	154	23	0	23	0	1	41	69	0	37	111
East	PA	Liz	Back_to_Nature_Driveway	9/23/2018	2018	9	23	5	122	6	0	1	0	74	43	0	0	39	117
East	PA	Liz	Cherry_Valley_Golf	9/6/2018	2018	9	6	1	67	144	0	0	0	18	84	21	4	41	123
East	PA	Liz	ESU_Fine_Arts	9/17/2018	2018	9	17	5	72	24	0	0	0	76	16	32	0	41.33333333	124
East	PA	Liz	Stony_Acres_Entrance	9/27/2018	2018	9	27	4	52	21	0	0	0	3	53	68	0	41.33333333	124
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	1	104.5	21	0	0	N/A	8	44	74	0	42	126
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	2	58	14	0	0	0	72	8	50	0	43.33333333	130
East	PA	Liz	Back_to_Nature_Garden	10/8/2018	2018	10	8	4	93	11	0	0	0	0	0	138	0	46	138
East	PA	Liz	Jay_Albertson_Park	10/4/2018	2018	10	4	5	157	34	0	1	0	27	87	43	0	52.33333333	157
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	9	34	12	0	0	0	74	58	30	0	54	162
East	PA	Liz	Jay_Albertson_Park	10/4/2018	2018	10	4	4	159	28	0	0	0	51	73	47	0	57	171
East	PA	Liz	ForEvergreen_Near_Barn	9/13/2018	2018	9	13	2	130	42	0	0	0	74	53	76	0	67.66666667	203
East	PA	Liz	ESU_Fine_Arts	9/17/2018	2018	9	17	4	79	24	0	0	0	73	49	92	1	71.33333333	214
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	2	130.3	12	0	9	51	44	112	61	0	72.33333333	217
East	PA	Liz	Jay_Albertson_Park	10/4/2018	2018	10	4	2	166	30	0	1	0	24	156	37	0	72.33333333	217
East	PA	Liz	ForEvergreen_Near_Barn	9/13/2018	2018	9	13	5	135	38	0	1	0	0	68	182	0	83.33333333	250
East	PA	Liz	Back_to_Nature_Driveway	9/23/2018	2018	9	23	1	147	10	0	3	0	143	86	41	0	90	270
East	PA	Liz	Jay_Albertson_Park	10/4/2018	2018	10	4	1	123	12	0	6	0	240	172	152	0	188	564
